+---------------------------------------+------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+
| File                                  | Line | Method name                                                                                                                                                                                                                                 | Time(ms) |
| LiftCell.swift                        | 46   | get {}                                                                                                                                                                                                                                      | 27.3     |
| ViewInfo.swift                        | 18   | get {}                                                                                                                                                                                                                                      | 26.7     |
| StatisticsTVC.swift                   | 95   | @objc func setupRx()                                                                                                                                                                                                                        | 26.2     |
| CarbonStatisticsVC.swift              | 25   | @objc override func viewDidLoad()                                                                                                                                                                                                           | 26.1     |
| StatisticsHistoryTVC.swift            | 76   | @objc func setupChartView()                                                                                                                                                                                                                 | 26.1     |
| ArrayProvider.swift                   | 9    | func numberOfItems() -> Int                                                                                                                                                                                                                 | 25.8     |
| RoutineCoordinator.swift              | 14   | (closure)                                                                                                                                                                                                                                   | 25.7     |
| RoutineTVC.swift                      | 30   | @objc override func title(forEmptyDataSet scrollView: UIScrollView!) -> NSAttributedString!                                                                                                                                                 | 25.1     |
| StatisticsTVC.swift                   | 54   | @objc override func viewDidLoad()                                                                                                                                                                                                           | 24.9     |
| SettingsTVC.swift                     | 12   | get {}                                                                                                                                                                                                                                      | 24.0     |
| TextFieldBehaviorHandler.swift        | 160  | func nextWasTapped()                                                                                                                                                                                                                        | 23.9     |
| StatisticsHistoryTVC.swift            | 112  | (closure)                                                                                                                                                                                                                                   | 23.7     |
| WeightAndRepsTextField.swift          | 25   | @objc func setNumber(double: Double)                                                                                                                                                                                                        | 22.2     |
| AcrtiveWorkoutCoordinator.swift       | 22   | (closure)                                                                                                                                                                                                                                   | 22.0     |
| ViewInfo.swift                        | 11   | static func from(array: [Any]) -> ViewInfo                                                                                                                                                                                                  | 21.6     |
| WorkoutDataSource.swift               | 78   | @objc override func tableView(_ tableView: UITableView, commit editingStyle: UITableViewCellEditingStyle, forRowAt indexPath: IndexPath)                                                                                                    | 21.4     |
| WorkoutCoordinator.swift              | 16   | (closure)                                                                                                                                                                                                                                   | 21.3     |
| StatisticsHistoryTVC.swift            | 38   | @objc func setupTopContentView()                                                                                                                                                                                                            | 21.2     |
| StatisticsHistoryTVC.swift            | 117  | (closure)                                                                                                                                                                                                                                   | 21.2     |
| SelectWorkoutVC.swift                 | 66   | @objc override func viewDidLoad()                                                                                                                                                                                                           | 20.1     |
| SetRowView.swift                      | 54   | @objc func setupSelectedColumnViewTypesAndWidth()                                                                                                                                                                                           | 20.0     |
| StatisticsHistoryTVC.swift            | 96   | @objc init(liftName: String)                                                                                                                                                                                                                | 19.9     |
| SetRowView.swift                      | 98   | @objc func setupButtons()                                                                                                                                                                                                                   | 19.6     |
| LiftTypeTVC.swift                     | 34   | @objc override func viewDidLoad()                                                                                                                                                                                                           | 18.4     |
| WorkoutDataSource.swift               | 55   | @objc func addSet(for lift: Lift, and cell: LiftCell)                                                                                                                                                                                       | 18.4     |
| SelectWorkoutVC.swift                 | 30   | @objc func setupView()                                                                                                                                                                                                                      | 18.1     |
| LiftCell.swift                        | 36   | final didSet {}                                                                                                                                                                                                                             | 17.8     |
| WorkoutsDataSource.swift              | 16   | @objc override func initialSetup()                                                                                                                                                                                                          | 17.7     |
| BaseWorkoutTVC.swift                  | 25   | @objc override func viewWillAppear(_ animated: Bool)                                                                                                                                                                                        | 17.5     |
| BaseWorkoutTVC.swift                  | 131  | @objc func customIOS7dialogButtonTouchUp(inside alertView: Any!, clickedButtonAt buttonIndex: Int)                                                                                                                                          | 17.4     |
| WorkoutDataSource.swift               | 24   | @objc override func initialSetup()                                                                                                                                                                                                          | 17.2     |
| LiftTypeTVC.swift                     | 52   | (closure)                                                                                                                                                                                                                                   | 16.8     |
| SetRowView.swift                      | 62   | @objc func configColumnWidthPercentages()                                                                                                                                                                                                   | 16.8     |
